Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Category,Income Category
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,436,Female,65,Sales Executive,Married,5228,24624,1,Yes,11,3,80,13,2,13,12,11,9,31 - 40,5k - 10k
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,437,Male,74,Sales Executive,Single,4478,5242,1,Yes,11,3,80,5,3,5,4,0,4,18 - 30,<5k
31,No,Travel_Rarely,691,Sales,7,3,Marketing,438,Male,73,Sales Executive,Divorced,7547,7143,4,No,12,3,80,13,3,7,7,1,7,31 - 40,5k - 10k
32,No,Travel_Rarely,1018,Research & Development,2,4,Medical,439,Female,74,Research Scientist,Single,5055,10557,7,No,16,3,80,10,0,7,7,0,7,31 - 40,5k - 10k
28,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,440,Male,84,Research Scientist,Married,3464,24737,5,Yes,13,3,80,5,4,3,2,2,2,18 - 30,<5k
30,No,Travel_Rarely,1275,Research & Development,28,2,Medical,441,Female,64,Research Scientist,Married,5775,11934,1,No,13,3,80,11,2,10,8,1,9,18 - 30,5k - 10k
31,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,442,Female,48,Manufacturing Director,Married,8943,14034,1,No,24,4,80,10,2,10,9,8,9,31 - 40,5k - 10k
39,No,Travel_Frequently,672,Research & Development,7,2,Medical,444,Male,54,Manager,Married,19272,21141,1,No,15,3,80,21,2,21,9,13,3,31 - 40,15k+
39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,445,Female,41,Sales Executive,Married,5238,17778,4,Yes,18,3,80,12,3,1,0,0,0,31 - 40,5k - 10k
33,No,Travel_Frequently,508,Sales,10,3,Marketing,446,Male,46,Sales Executive,Single,4682,4317,3,No,14,3,80,9,6,7,7,0,1,31 - 40,<5k
47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,447,Male,42,Research Director,Married,18300,16375,4,No,11,3,80,21,2,3,2,1,1,41 - 50,15k+
43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,448,Female,82,Laboratory Technician,Divorced,5257,6227,1,No,11,3,80,9,3,9,7,0,0,41 - 50,5k - 10k
27,No,Non-Travel,210,Sales,1,1,Marketing,449,Male,73,Sales Executive,Married,6349,22107,0,Yes,13,3,80,6,0,5,4,1,4,18 - 30,5k - 10k
54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,450,Female,31,Research Scientist,Single,4869,16885,3,No,12,3,80,20,4,4,3,0,3,51 - 64,<5k
43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,451,Female,43,Healthcare Representative,Married,9985,9262,8,No,16,3,80,10,1,1,0,0,0,41 - 50,5k - 10k
45,No,Travel_Rarely,549,Research & Development,8,4,Other,452,Male,75,Research Scientist,Married,3697,9278,9,No,14,3,80,12,3,10,9,9,8,41 - 50,<5k
40,No,Travel_Rarely,1124,Sales,1,2,Medical,453,Male,57,Sales Executive,Married,7457,13273,2,Yes,22,4,80,6,2,4,3,0,2,31 - 40,5k - 10k
29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,454,Male,77,Laboratory Technician,Married,2119,4759,1,Yes,11,3,80,7,4,7,7,0,7,18 - 30,<5k
29,No,Travel_Rarely,738,Research & Development,9,5,Other,455,Male,30,Laboratory Technician,Single,3983,7621,0,No,17,3,80,4,2,3,2,2,2,18 - 30,<5k
30,No,Travel_Rarely,570,Sales,5,3,Marketing,456,Female,30,Sales Executive,Divorced,6118,5431,1,No,13,3,80,10,2,10,9,1,2,18 - 30,5k - 10k
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,458,Female,56,Sales Executive,Married,6214,3415,1,No,18,3,80,8,3,8,7,0,7,18 - 30,5k - 10k
37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,460,Male,61,Manufacturing Director,Divorced,6347,23177,7,No,16,3,80,8,2,6,2,0,4,31 - 40,5k - 10k
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,461,Male,92,Research Director,Divorced,11510,15682,0,Yes,14,3,80,12,3,11,10,2,9,31 - 40,10k - 15k
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,462,Female,39,Manufacturing Director,Single,7143,25713,1,Yes,14,3,80,11,2,11,9,4,10,31 - 40,5k - 10k
29,No,Travel_Rarely,144,Sales,10,1,Marketing,463,Female,39,Sales Executive,Divorced,8268,11866,1,Yes,14,3,80,7,2,7,7,1,7,18 - 30,5k - 10k
35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,464,Male,62,Manufacturing Director,Single,8095,18264,0,No,13,3,80,17,5,16,6,0,13,31 - 40,5k - 10k
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,465,Male,83,Research Scientist,Divorced,2904,16092,1,No,12,3,80,4,2,4,2,0,2,18 - 30,<5k
41,No,Travel_Rarely,483,Research & Development,6,3,Medical,466,Male,95,Manufacturing Director,Single,6032,10110,6,Yes,15,3,80,8,3,5,4,1,2,41 - 50,5k - 10k
47,No,Travel_Frequently,1309,Sales,4,1,Medical,467,Male,99,Sales Representative,Single,2976,25751,3,No,19,3,80,5,3,0,0,0,0,41 - 50,<5k
42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,468,Female,44,Research Director,Single,15992,15901,2,No,14,3,80,16,2,1,0,0,0,41 - 50,15k+
29,No,Non-Travel,746,Sales,2,3,Life Sciences,469,Male,61,Sales Executive,Married,4649,16928,1,No,14,3,80,4,3,4,3,0,2,18 - 30,<5k
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,470,Male,52,Human Resources,Divorced,2696,24017,0,Yes,11,3,80,4,5,3,2,1,0,41 - 50,<5k
32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,471,Female,75,Laboratory Technician,Married,2370,3956,1,No,13,3,80,8,4,8,0,0,7,31 - 40,<5k
48,No,Travel_Rarely,530,Sales,29,1,Medical,473,Female,91,Manager,Married,12504,23978,3,No,21,4,80,15,3,0,0,0,0,41 - 50,10k - 15k
37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,474,Male,51,Research Scientist,Divorced,5974,17001,4,Yes,13,3,80,13,2,7,7,6,7,31 - 40,5k - 10k
30,No,Non-Travel,641,Sales,25,2,Technical Degree,475,Female,85,Sales Executive,Married,4736,6069,7,Yes,12,3,80,4,2,2,2,2,2,18 - 30,<5k
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,476,Male,57,Sales Executive,Married,5296,20156,1,No,17,3,80,8,3,8,7,7,7,18 - 30,5k - 10k
42,No,Travel_Rarely,1332,Research & Development,2,4,Other,477,Male,98,Healthcare Representative,Single,6781,17078,3,No,23,4,80,14,6,1,0,0,0,41 - 50,5k - 10k
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,478,Female,99,Sales Representative,Single,2174,9150,1,Yes,11,3,80,3,3,3,2,1,2,18 - 30,<5k
36,No,Non-Travel,845,Sales,1,5,Medical,479,Female,45,Sales Executive,Single,6653,15276,4,No,15,3,80,7,6,1,0,0,0,31 - 40,5k - 10k
36,No,Travel_Frequently,541,Sales,3,4,Medical,481,Male,48,Sales Executive,Married,9699,7246,4,No,11,3,80,16,2,13,9,1,12,31 - 40,5k - 10k
57,No,Travel_Rarely,593,Research & Development,1,4,Medical,482,Male,88,Healthcare Representative,Married,6755,2967,2,No,11,3,80,15,2,3,2,1,2,51 - 64,5k - 10k
40,No,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,483,Female,46,Laboratory Technician,Married,2213,22495,3,Yes,13,3,80,10,3,7,7,1,7,31 - 40,<5k
21,No,Non-Travel,895,Sales,9,2,Medical,484,Male,39,Sales Representative,Single,2610,2851,1,No,24,4,80,3,3,3,2,2,2,18 - 30,<5k
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,485,Female,34,Sales Representative,Single,2851,9150,1,Yes,13,3,80,1,2,1,0,0,0,31 - 40,<5k
37,No,Travel_Rarely,921,Research & Development,10,3,Medical,486,Female,98,Laboratory Technician,Married,3452,17663,6,No,20,4,80,17,3,5,4,0,3,31 - 40,<5k
46,No,Non-Travel,1144,Research & Development,7,4,Medical,487,Female,30,Manufacturing Director,Married,5258,16044,2,No,14,3,80,7,2,1,0,0,0,41 - 50,5k - 10k
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,488,Male,56,Sales Executive,Single,9355,9558,1,No,18,3,80,8,5,8,7,7,7,41 - 50,5k - 10k
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,491,Male,100,Healthcare Representative,Single,10496,2755,6,No,15,3,80,20,2,4,3,1,3,41 - 50,10k - 15k
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,492,Male,68,Sales Executive,Married,6380,6110,2,Yes,12,3,80,8,6,6,4,1,0,31 - 40,5k - 10k
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,493,Male,42,Research Scientist,Single,2657,7551,0,Yes,16,3,80,3,5,2,2,2,2,31 - 40,<5k
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,494,Female,90,Sales Representative,Single,2716,25422,1,No,15,3,80,1,0,1,0,0,0,18 - 30,<5k
29,No,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,495,Male,54,Research Scientist,Single,2201,18168,9,No,16,3,80,6,4,3,2,1,2,18 - 30,<5k
35,No,Travel_Rarely,755,Research & Development,9,4,Life Sciences,496,Male,97,Healthcare Representative,Single,6540,19394,9,No,19,3,80,10,5,1,1,0,0,31 - 40,5k - 10k
27,No,Travel_Rarely,1469,Research & Development,1,2,Medical,497,Male,82,Laboratory Technician,Divorced,3816,17881,1,No,11,3,80,5,2,5,2,0,4,18 - 30,<5k
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,498,Male,92,Sales Executive,Single,5253,20750,1,No,16,3,80,7,1,7,5,0,7,18 - 30,5k - 10k
49,No,Travel_Rarely,1261,Research & Development,7,3,Other,499,Male,31,Healthcare Representative,Single,10965,12066,8,No,24,4,80,26,2,5,2,0,0,41 - 50,10k - 15k
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,500,Female,87,Sales Executive,Married,4936,14862,4,No,11,3,80,18,2,7,7,0,7,51 - 64,<5k
36,No,Travel_Rarely,329,Research & Development,2,3,Life Sciences,501,Female,96,Research Scientist,Married,2543,11868,4,No,13,3,80,6,3,2,2,2,2,31 - 40,<5k
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,502,Male,67,Sales Executive,Single,5304,4652,8,Yes,13,3,80,9,3,5,2,0,4,31 - 40,5k - 10k
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,505,Female,97,Manager,Single,16659,23258,2,Yes,13,3,80,30,2,5,4,1,2,51 - 64,15k+
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,507,Female,77,Sales Executive,Divorced,4260,5915,1,Yes,12,3,80,5,2,5,2,0,3,18 - 30,<5k
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,508,Male,72,Sales Representative,Married,2476,17434,1,No,18,3,80,1,3,1,0,0,0,18 - 30,<5k
26,Yes,Travel_Frequently,575,Research & Development,3,1,Technical Degree,510,Male,73,Research Scientist,Single,3102,6582,0,No,22,4,80,7,2,6,4,0,4,18 - 30,<5k
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,511,Female,43,Research Scientist,Married,2244,24440,1,No,13,3,80,2,1,2,1,1,2,18 - 30,<5k
36,No,Travel_Rarely,164,Sales,2,2,Medical,513,Male,61,Sales Executive,Married,7596,3809,1,No,13,3,80,10,2,10,9,9,0,31 - 40,5k - 10k
30,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,514,Male,40,Research Scientist,Single,2285,3427,9,Yes,23,4,80,3,4,1,0,0,0,18 - 30,<5k
37,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,515,Female,95,Laboratory Technician,Divorced,3034,26914,1,No,12,3,80,18,2,18,7,12,17,31 - 40,<5k
40,No,Travel_Rarely,759,Sales,2,2,Marketing,516,Female,46,Sales Executive,Divorced,5715,22553,7,No,12,3,80,8,5,5,4,1,3,31 - 40,5k - 10k
42,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,517,Female,95,Laboratory Technician,Divorced,2576,20490,3,No,16,3,80,8,5,5,2,1,2,41 - 50,<5k
37,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,518,Male,49,Manufacturing Director,Single,4197,21123,2,Yes,12,3,80,18,2,1,0,0,1,31 - 40,<5k
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,520,Male,59,Research Director,Divorced,14336,4345,1,No,11,3,80,25,3,25,10,3,9,41 - 50,10k - 15k
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,521,Female,78,Laboratory Technician,Married,3448,13436,6,No,22,4,80,20,3,1,0,0,0,31 - 40,<5k
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,522,Male,86,Research Director,Married,19406,8509,4,No,11,3,80,24,4,4,2,1,2,51 - 64,15k+
34,No,Non-Travel,1381,Sales,4,4,Marketing,523,Female,72,Sales Executive,Married,6538,12740,9,No,15,3,80,6,3,3,2,1,2,31 - 40,5k - 10k
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,524,Female,31,Manufacturing Director,Married,4306,4156,1,No,12,3,80,13,5,13,10,3,12,31 - 40,<5k
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,525,Male,61,Laboratory Technician,Married,2258,15238,7,No,20,4,80,8,1,3,2,1,2,41 - 50,<5k
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,526,Female,74,Healthcare Representative,Divorced,4522,2227,4,Yes,14,3,80,8,3,5,2,0,2,41 - 50,<5k
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,527,Female,99,Sales Executive,Single,4487,12090,1,Yes,11,3,80,5,3,5,4,1,3,18 - 30,<5k
37,No,Non-Travel,1063,Research & Development,25,5,Medical,529,Female,72,Research Scientist,Married,4449,23866,3,Yes,15,3,80,15,2,13,11,10,7,31 - 40,<5k
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,530,Male,98,Laboratory Technician,Married,2218,16193,1,No,12,3,80,4,3,4,2,3,2,31 - 40,<5k
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,531,Male,52,Manager,Divorced,19197,8213,1,Yes,14,3,80,21,3,21,8,1,6,31 - 40,15k+
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,532,Female,86,Sales Executive,Married,13212,18256,9,No,11,3,80,36,0,7,7,7,7,51 - 64,10k - 15k
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,533,Female,83,Sales Executive,Single,6577,19558,0,No,11,3,80,6,6,5,4,4,4,18 - 30,5k - 10k
41,No,Travel_Rarely,645,Sales,1,3,Marketing,534,Male,49,Sales Executive,Married,8392,19566,1,No,16,3,80,10,2,10,7,0,7,41 - 50,5k - 10k
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,536,Male,79,Laboratory Technician,Divorced,4558,13535,1,No,12,3,80,10,2,10,0,1,8,18 - 30,<5k
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,538,Male,91,Laboratory Technician,Married,4031,9396,5,No,13,3,80,6,5,2,2,0,2,18 - 30,<5k
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,543,Male,39,Manufacturing Director,Married,7969,19609,2,Yes,14,3,80,28,4,5,4,0,4,51 - 64,5k - 10k
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,544,Male,69,Research Scientist,Married,2654,9655,3,No,21,4,80,8,3,2,2,0,2,41 - 50,<5k
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,546,Female,30,Manager,Married,16555,10310,2,No,13,3,80,31,2,5,2,1,4,51 - 64,15k+
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,547,Female,92,Research Scientist,Divorced,4556,12932,2,No,11,3,80,19,3,5,4,0,2,41 - 50,<5k
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,548,Female,43,Manufacturing Director,Single,6091,24793,2,No,20,4,80,11,2,5,4,0,2,18 - 30,5k - 10k
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,549,Female,41,Manager,Married,19566,3854,5,No,11,3,80,33,5,29,8,11,10,51 - 64,15k+
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,550,Female,87,Manufacturing Director,Divorced,4810,26314,2,No,14,3,80,19,5,10,7,0,8,41 - 50,<5k
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,551,Female,88,Healthcare Representative,Married,4523,4386,0,No,11,3,80,7,4,6,5,0,4,41 - 50,<5k
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,554,Female,62,Sales Representative,Single,3202,21972,1,Yes,16,3,80,6,4,5,3,1,4,18 - 30,<5k
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,555,Female,33,Sales Representative,Divorced,2351,12253,0,No,16,3,80,3,3,2,2,1,0,31 - 40,<5k
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,556,Male,42,Laboratory Technician,Married,1702,12106,1,Yes,23,4,80,1,3,1,0,0,0,31 - 40,<5k
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,558,Female,79,Manager,Married,18041,13022,0,No,14,3,80,21,2,20,15,1,12,31 - 40,15k+
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,560,Female,90,Research Scientist,Divorced,2886,3032,1,No,22,4,80,3,3,3,2,0,2,18 - 30,<5k
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,562,Male,53,Laboratory Technician,Married,2097,16734,4,No,15,3,80,9,3,5,3,1,4,18 - 30,<5k
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,564,Male,93,Research Director,Married,11935,21526,1,No,18,3,80,10,2,10,2,0,7,18 - 30,10k - 15k
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,565,Female,71,Research Scientist,Married,2546,18300,5,No,16,3,80,6,2,2,2,1,1,18 - 30,<5k
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,566,Male,52,Human Resources,Single,2564,18437,1,No,12,3,80,1,3,1,0,0,0,18 - 30,<5k
30,No,Non-Travel,1398,Sales,22,4,Other,567,Female,69,Sales Executive,Married,8412,2890,0,No,11,3,80,10,3,9,8,7,8,18 - 30,5k - 10k
57,No,Travel_Rarely,210,Sales,29,3,Marketing,568,Male,56,Manager,Divorced,14118,22102,3,No,12,3,80,32,3,1,0,0,0,51 - 64,10k - 15k
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,569,Male,88,Manager,Married,17046,9314,0,No,15,3,80,28,2,27,10,15,7,41 - 50,15k+
30,No,Non-Travel,1116,Research & Development,2,3,Medical,571,Female,49,Laboratory Technician,Single,2564,7181,0,No,14,3,80,12,2,11,7,6,7,18 - 30,<5k
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,573,Female,80,Sales Executive,Married,10266,2845,4,No,19,3,80,22,5,18,13,13,11,51 - 64,10k - 15k
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,574,Female,65,Manufacturing Director,Divorced,5070,7389,5,No,13,3,80,20,2,5,0,0,4,41 - 50,5k - 10k
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,575,Male,51,Research Director,Married,17861,2288,6,No,13,3,80,26,2,3,2,0,1,41 - 50,15k+
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,577,Male,46,Laboratory Technician,Single,4230,19225,0,No,15,3,80,6,2,5,4,4,3,31 - 40,<5k
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,578,Female,42,Laboratory Technician,Single,3780,23428,7,No,11,3,80,19,3,1,0,0,0,51 - 64,<5k
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,579,Male,62,Research Scientist,Divorced,2768,8416,3,No,12,3,80,14,3,7,3,5,7,31 - 40,<5k
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,580,Female,94,Sales Executive,Married,9071,11563,2,Yes,19,3,80,15,3,3,2,1,2,41 - 50,5k - 10k
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,581,Male,33,Manufacturing Director,Divorced,10648,14394,1,No,25,4,80,13,6,13,8,0,8,31 - 40,10k - 15k
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,582,Male,56,Manager,Married,13610,24619,7,Yes,12,3,80,15,2,7,6,7,7,31 - 40,10k - 15k
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,584,Male,38,Laboratory Technician,Divorced,3408,6705,7,No,13,3,80,8,2,4,3,1,3,31 - 40,<5k
30,No,Travel_Rarely,413,Sales,7,1,Marketing,585,Male,57,Sales Representative,Single,2983,18398,0,No,14,3,80,4,3,3,2,1,2,18 - 30,<5k
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,586,Male,72,Healthcare Representative,Married,7632,14295,4,Yes,12,3,80,10,2,8,7,0,0,31 - 40,5k - 10k
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,587,Male,66,Healthcare Representative,Married,9824,22908,3,No,12,3,80,12,2,1,0,0,0,31 - 40,5k - 10k
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,590,Female,43,Human Resources,Divorced,9950,11533,9,Yes,15,3,80,11,2,3,2,0,2,31 - 40,5k - 10k
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,591,Male,97,Laboratory Technician,Married,2093,9260,4,No,17,3,80,8,4,2,2,2,0,41 - 50,<5k
36,No,Non-Travel,635,Sales,10,4,Medical,592,Male,32,Sales Executive,Single,9980,15318,1,No,14,3,80,10,3,10,3,9,7,31 - 40,5k - 10k
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,593,Male,99,Laboratory Technician,Single,3894,9129,5,No,16,3,80,4,3,2,2,1,2,18 - 30,<5k
48,No,Travel_Rarely,163,Sales,2,5,Marketing,595,Female,37,Sales Executive,Married,4051,19658,2,No,14,3,80,14,2,9,7,6,7,41 - 50,<5k
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,597,Female,83,Manager,Single,16835,9873,3,No,23,4,80,37,2,10,9,7,7,51 - 64,15k+
41,No,Non-Travel,267,Sales,10,2,Life Sciences,599,Male,56,Sales Executive,Single,6230,13430,7,No,14,3,80,16,3,14,3,1,10,41 - 50,5k - 10k
35,No,Travel_Rarely,619,Sales,1,3,Marketing,600,Male,85,Sales Executive,Married,4717,18659,9,No,11,3,80,15,2,11,9,6,9,31 - 40,<5k
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,601,Female,75,Manufacturing Director,Single,13237,20364,7,No,15,3,80,22,3,20,6,5,13,31 - 40,10k - 15k
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,602,Female,48,Laboratory Technician,Married,3755,17872,1,No,11,3,80,8,3,8,3,0,7,31 - 40,<5k
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,604,Male,77,Sales Executive,Single,6582,8346,4,Yes,13,3,80,10,2,6,5,0,5,31 - 40,5k - 10k
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,605,Male,56,Manufacturing Director,Married,7406,6950,1,Yes,21,4,80,10,5,10,9,5,8,41 - 50,5k - 10k
45,No,Travel_Rarely,561,Sales,2,3,Other,606,Male,61,Sales Executive,Married,4805,16177,0,No,19,3,80,9,3,8,7,3,7,41 - 50,<5k
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,608,Female,58,Human Resources,Divorced,2741,22808,0,Yes,11,3,80,8,2,7,7,1,0,18 - 30,<5k
29,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,611,Male,34,Manufacturing Director,Divorced,4262,22645,4,No,12,3,80,8,2,3,2,1,2,18 - 30,<5k
33,No,Travel_Rarely,922,Research & Development,1,5,Medical,612,Female,95,Research Director,Divorced,16184,22578,4,No,19,3,80,10,2,6,1,0,5,31 - 40,15k+
31,No,Travel_Rarely,688,Sales,7,3,Life Sciences,613,Male,44,Manager,Divorced,11557,25291,9,No,21,4,80,10,3,5,4,0,1,31 - 40,10k - 15k
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,614,Male,69,Sales Representative,Single,1878,8059,1,Yes,14,3,80,0,3,0,0,0,0,18 - 30,<5k
40,No,Non-Travel,1094,Sales,28,3,Other,615,Male,58,Sales Executive,Divorced,10932,11373,3,No,15,3,80,20,2,1,0,0,1,31 - 40,10k - 15k
41,No,Non-Travel,509,Research & Development,2,4,Other,616,Female,62,Healthcare Representative,Single,6811,2112,2,Yes,17,3,80,10,3,8,7,0,7,41 - 50,5k - 10k
26,No,Travel_Rarely,775,Sales,29,2,Medical,618,Male,45,Sales Executive,Divorced,4306,4267,5,No,12,3,80,8,5,0,0,0,0,18 - 30,<5k
35,No,Travel_Rarely,195,Sales,1,3,Medical,620,Female,80,Sales Executive,Single,4859,6698,1,No,16,3,80,5,3,5,4,0,3,31 - 40,<5k
34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,621,Male,74,Sales Executive,Single,5337,19921,1,No,12,3,80,10,3,10,7,5,7,31 - 40,5k - 10k
26,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,622,Male,66,Laboratory Technician,Single,2340,23213,1,Yes,18,3,80,1,3,1,0,0,0,18 - 30,<5k
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,623,Female,59,Manufacturing Director,Single,7491,23848,4,No,17,3,80,12,3,6,5,1,2,31 - 40,5k - 10k
46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,624,Female,86,Healthcare Representative,Married,10527,8984,5,No,11,3,80,28,3,2,2,1,2,41 - 50,10k - 15k
41,No,Travel_Rarely,1276,Sales,2,5,Life Sciences,625,Female,91,Manager,Married,16595,5626,7,No,16,3,80,22,2,18,16,11,8,41 - 50,15k+
37,No,Non-Travel,142,Sales,9,4,Medical,626,Male,69,Sales Executive,Divorced,8834,24666,1,No,13,3,80,9,6,9,5,7,7,31 - 40,5k - 10k
52,No,Travel_Rarely,956,Research & Development,6,2,Technical Degree,630,Male,78,Research Scientist,Divorced,5577,22087,3,Yes,12,3,80,18,3,10,9,6,9,51 - 64,5k - 10k
32,Yes,Non-Travel,1474,Sales,11,4,Other,631,Male,60,Sales Executive,Married,4707,23914,8,No,12,3,80,6,2,4,2,1,2,31 - 40,<5k
24,No,Travel_Frequently,535,Sales,24,3,Medical,632,Male,38,Sales Representative,Married,2400,5530,0,No,13,3,80,3,3,2,2,2,1,18 - 30,<5k
38,No,Travel_Rarely,1495,Research & Development,10,3,Medical,634,Female,76,Healthcare Representative,Married,9824,22174,3,No,19,3,80,18,4,1,0,0,0,31 - 40,5k - 10k
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,635,Female,65,Manufacturing Director,Married,6447,15701,6,No,12,3,80,8,2,6,5,4,3,31 - 40,5k - 10k
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,638,Male,58,Research Director,Divorced,19502,2125,1,Yes,17,3,80,31,5,31,9,0,9,41 - 50,15k+
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,639,Male,89,Research Scientist,Married,2725,21630,1,Yes,11,3,80,6,3,6,5,1,4,18 - 30,<5k
